City,Time,Aqi,Temp,Pressure,Himidity,Wind
"Kota Tinggi, Johor",9/28/2019 14:00,64,33,1010,46,3
"Larkin Lama, Johor",9/28/2019 14:00,80,33,1010,46,3
"Muar, Johor",2019-09-28 -,None,-,-,-,-
"Pasir Gudang, Johor",9/28/2019 14:00,77,33,1010,46,3
"Segamat, Johor",9/28/2019 14:00,87,33,1010,60,3
"Batu Pahat, Johor",9/28/2019 14:00,61,33,1011,59,3
"Kluang, Johor",9/28/2019 14:00,58,33,1006,65,1
"Pengerang, Johor",9/28/2019 14:00,69,33,1010,46,3
"Alor Setar, Kedah",9/28/2019 14:00,53,30,1012,70,4
"Bakar Arang, Sg. Petani, Kedah",9/28/2019 14:00,51,32,1011,62,5
"Langkawi, Kedah",9/28/2019 14:00,39,30,1012,70,4
"Kulim Hi-Tech, Kedah",9/28/2019 14:00,48,32,1011,62,5
"SMK Tanjung Chat, Kota Bharu, Kelantan",2019-09-28 -,None,-,-,-,-
"Tanah Merah, Kelantan",9/28/2019 14:00,49,30,1012,79,3
"Kota Bharu, Kelantan",9/28/2019 14:00,52,30,1012,79,3
"Bandaraya Melaka, Melaka",9/28/2019 14:00,61,32,1010,62,2
"Bukit Rambai, Melaka",9/28/2019 14:00,63,32,1010,62,2
"Alor Gajah, Melaka",9/28/2019 14:00,63,32,1010,62,2
"Nilai, Negeri Sembilan",9/28/2019 14:00,70,32,1010,62,2
"Port Dickson, Negeri Sembilan",9/28/2019 14:00,62,32,1010,62,2
"Seremban, Negeri Sembilan",9/28/2019 14:00,60,32,1010,62,2
"Balok Baru, Kuantan, Pahang",9/28/2019 14:00,54,32,1011,59,1
"Indera Mahkota, Kuantan, Pahang",9/28/2019 14:00,48,32,1011,59,1
"Jerantut, Pahang",9/28/2019 14:00,44,32,1009,59,1
"Rompin, Pahang",9/28/2019 14:00,69,33,1006,68,3
"Temerloh, Pahang",9/28/2019 14:00,54,32,1012,54,3
"Jalan Tasek, Ipoh, Perak",9/28/2019 14:00,55,32,1009,58,None
"Kg. Air Putih, Taiping, Perak",9/28/2019 14:00,53,32,1009,58,None
"S K Jalan Pegoh, Ipoh, Perak",9/28/2019 14:00,57,32,1009,58,None
"Seri Manjung, Perak",9/28/2019 14:00,59,32,1009,58,None
"Tanjung Malim, Perak",9/28/2019 14:00,36,32,1012,54,3
"Kangar, Perlis",9/28/2019 14:00,49,30,1012,70,4
"Perai, Pulau Pinang",9/28/2019 14:00,52,32,1011,62,5
"Seberang Jaya 2, Perai, Pulau Pinang",9/28/2019 14:00,57,32,1011,62,5
"USM, Pulau Pinang",2019-09-28 -,None,-,-,-,-
"Keningau, Sabah",9/28/2019 14:00,51,34,1009,71,3
"Kota Kinabalu, Sabah",9/28/2019 14:00,53,34,1009,71,3
"Sandakan, Sabah",9/28/2019 14:00,54,32,1009,66,5
"Tawau, Sabah",9/28/2019 14:00,51,32,1009,62,5
"Labuan, Wilayah Persekutuan",9/28/2019 14:00,57,31,1010,70,4
"Kimanis, Sabah",9/28/2019 14:00,51,34,1009,71,3
"Bintulu, Sarawak",9/28/2019 14:00,40,31,1010,74,3
"ILP Miri, Sarawak",9/28/2019 14:00,36,32,1010,70,5
"Kapit, Sarawak",9/28/2019 14:00,50,None,None,None,None
"Kuching, Sarawak",9/28/2019 14:00,57,33,1010,55,2
"Limbang, Sarawak",9/28/2019 14:00,46,31,1010,70,4
"Miri, Sarawak",9/28/2019 14:00,54,32,1010,70,5
"Samarahan, Sarawak",9/28/2019 14:00,54,33,1010,55,2
"Sarikei, Sarawak",9/28/2019 14:00,55,33,1006,62,2
"Sibu, Sarawak",9/28/2019 14:00,56,33,1009,59,2
"Sri Aman, Sarawak",9/28/2019 14:00,57,33,1010,62,2
"Samalaju, Sarawak",9/28/2019 14:00,52,31,1007,74,3
"Mukah, Sarawak",9/28/2019 14:00,46,33,1006,62,2
"Banting, Selangor",9/28/2019 14:00,67,32,1010,62,2
"Kuala Selangor, Selangor",9/28/2019 14:00,56,32,1012,54,3
"Pelabuhan Kelang, Selangor",9/28/2019 14:00,82,32,1012,54,3
"Petaling Jaya, Selangor",9/28/2019 14:00,71,32,1012,54,3
"Shah Alam, Selangor",9/28/2019 14:00,76,32,1012,54,3
"Kemaman, Terengganu",9/28/2019 14:00,50,32,1012,70,2
"Kuala Terengganu, Terengganu",9/28/2019 14:00,56,31,1011,70,4
"Paka, Terengganu",9/28/2019 14:00,51,32,1012,70,2
"Besut, Terengganu",9/28/2019 14:00,47,30,1011,78,3
"Batu Muda,Kuala Lumpur, Wilayah Persekutuan",9/28/2019 14:00,66,32,1012,54,3
"Cheras,Kuala Lumpur, Wilayah Persekutuan",9/28/2019 14:00,69,32,1012,54,3
"Putrajaya, Wilayah Persekutuan",2019-09-28 -,None,-,-,-,-
"Minden, Pulau Pinang",9/28/2019 14:00,55,32,1011,62,5
