,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,Location
0,RT @farahwazer: KL view from bukit ampang. the haze is bad ☠️ #Jerebu https://t.co/6Bn4dNhSvI,0,11,2019-09-27 12:44:37,nursknhhrlnzm,23,
1,"Other countries got four seasons, we got three, rain, dry and haze..Siang jerebu malam hujan..",0,0,2019-09-26 10:16:09,derio📻,828,"Miri, Sarawak"
2,Gig di musim jerebu circa ‘97. Victory style going to Haze style. #KLHC #HazeHavoc https://t.co/Vm2cE8eEXp,4,0,2019-09-26 08:22:30,Azwari Zainal Abidin,89157,kuala lumpur
3,RT @NizamiSousuke: It's getting worse here. We can't breath well &amp; we saw something unimaginable behind this haze 😷 #jerebu https://t.co/8L…,0,1859,2019-09-26 08:17:46,Me🤙🏻,1736,
4,"RT @nzrthmn: Kenapa ramai kata govt tak buat apa-apa pasal haze? Cloud seeding, offering assistance to indonesia to help put out the fire,…",0,9,2019-09-26 08:01:48,Nurfarah Amiera,10,
5,"RT @adib261001_adib: i miss this beautiful view
#haze 
#Jerebu 
#Malaysia https://t.co/U7QwY6Af1A",0,1,2019-09-26 05:08:08,samaji rehnuma,13566,"Punjab, Pakistan"
6,A Haze story 😬 #jerebu #hazestory https://t.co/HoyIEVIHpY,0,0,2019-09-26 04:16:49,Ct_Vna,2813,"Kelantan, Malaysia"
7,"Check this out on Wakelet - Jerebu (Haze)

  https://t.co/kWxBHtEeiE via @wakelet

#wakeletwave
#jerebu",2,0,2019-09-26 01:20:15,Arif Zakwan,2301,Malaysia
8,"After so many weeks finally  feasting my eyes on the blue hour,bye bye haze
Thank you monsoon

#hazemalaysia… https://t.co/516rYwjVO7",1,0,2019-09-25 11:35:37,BlueSkyComeBack🏝️🏝️,18904,1729
9,Flow showing Green during non-haze day! #haze #jerebu #cleanandhealthierair https://t.co/0Jkb094wv3,1,0,2019-09-25 11:35:26,"Eliani Ezani, PhD.",1034,Kuala Lumpur
10,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 10:51:20,KANMANI MANI,1399,KUALA LUMPUR
11,"THE skies are blue, the sun is shining bright and no haze in sight. Alhamdullilah! #Jerebu #KabutAsap #HazeMalaysia https://t.co/1wy7mKFOPL",1,0,2019-09-25 10:33:53,HAZIQ ASYRAF JR,181,Tel Aviv
12,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 09:30:43,_Asmaqila,4718,Malaysian
13,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 07:57:43,Harapan Tanahairku..,51841,Central - M'sia
14,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 07:56:41,anis 🦋,37179,𝓛𝓸𝓿𝓮𝓻
15,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 07:47:31,MC,8810,A Planet in This Universe
16,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 07:39:21,#EndChildMarriage,2702,
17,"RT @therakyatpost: The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https:/…",0,8,2019-09-25 07:31:02,Azwan Ismail,8373,"Kuala Lumpur, Malaysia"
18,"The plot (and the smog) thickens...

#haze #Jerebu #palmoil #landburning #fire #Malaysia #Indonesia #Greenpeace

https://t.co/onTKNeaIfj",4,8,2019-09-25 07:30:00,The Rakyat Post,269,Malaysia
19,"RT @therakyatpost: We'd like to dedicate this award to Indonesia. Without them, we could never be *cough* *cough* *cough*

#haze #Jerebu #M…",0,19,2019-09-25 03:53:27,donrealla 🌐🌐,3564,Medellín
20,"RT @therakyatpost: Goodbye haze, hello flash floods.

#haze #jerebu #Malaysia #monsoon

https://t.co/5pGocuuxJ3",0,4,2019-09-25 03:52:12,donrealla 🌐🌐,3564,Medellín
21,"RT @HdinHafizuddin: Malaysian: Asap kabut, tolonggg tolonggg jerebu!! Haze haze, pity our children, kids and older peoples. No air! No air!…",0,332,2019-09-25 03:47:25,donrealla 🌐🌐,3564,Medellín
22,Good Morning without #Jerebu #haze @ Bandar Baru Bangi https://t.co/qVS1dVagud,0,0,2019-09-25 00:30:17,Amar Zack [mcbong],72,"Kajang, Selangor"
23,"RT @elianiezani: After been 14 days of my daily observation frm #malaysia API nearest monitoring st,v glad to observe the API plummetted to…",0,1,2019-09-24 15:55:14,Haze Malaysia,666,Malaysia
24,"After been 14 days of my daily observation frm #malaysia API nearest monitoring st,v glad to observe the API plumme… https://t.co/h0vyLALKhf",2,1,2019-09-24 14:40:13,"Eliani Ezani, PhD.",1034,Kuala Lumpur
25,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 13:58:55,𝔀𝓲𝓷𝔀𝓲𝓷❤️,16171,Kelantan
26,RT @KirtWpac: #Jerebu #KabutAsap #Haze condition remains in large parts of the Philippines. The winds shifted from the Northeast yet the sm…,0,1,2019-09-24 13:13:59,Yaakov Cantor,4020,"Jerusalem, Israel"
27,#Jerebu #KabutAsap #Haze condition remains in large parts of the Philippines. The winds shifted from the Northeast… https://t.co/VorfFGfJ8n,0,1,2019-09-24 12:43:32,Kirt P,8,Davao 
28,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 12:37:04,bixantine,36,Kuala Lumpur
29,"RT @jaagrafik: Nowadays fresh air is more expensive than hospital bills... Please protect yourself from air pollution.

#jaagrafik #jaakomi…",0,2,2019-09-24 11:11:09,panther erb,11,"Petaling, Wilayah Persekutuan "
30,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 11:04:24,🌺 Foolish Watcher™️,183743,Milky way
31,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 09:13:51,Joanna,10501,
32,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 09:12:10,雪蔚,14367,Kuala Lumpur City
